DateKey,Date,Year,Quarter,Month,MonthName,MonthYear,Week,Day,DayOfWeek,IsWeekend,FiscalYear,Season,IsFestivalWindow
20220417,2022-04-17,2022,2,4,Apr,Apr-2022,15,17,Sunday,True,FY23,Summer,False
20220418,2022-04-18,2022,2,4,Apr,Apr-2022,16,18,Monday,False,FY23,Summer,False
20220419,2022-04-19,2022,2,4,Apr,Apr-2022,16,19,Tuesday,False,FY23,Summer,False
20220420,2022-04-20,2022,2,4,Apr,Apr-2022,16,20,Wednesday,False,FY23,Summer,False
20220421,2022-04-21,2022,2,4,Apr,Apr-2022,16,21,Thursday,False,FY23,Summer,False
20220422,2022-04-22,2022,2,4,Apr,Apr-2022,16,22,Friday,False,FY23,Summer,False
20220423,2022-04-23,2022,2,4,Apr,Apr-2022,16,23,Saturday,True,FY23,Summer,False
20220424,2022-04-24,2022,2,4,Apr,Apr-2022,16,24,Sunday,True,FY23,Summer,False
20220425,2022-04-25,2022,2,4,Apr,Apr-2022,17,25,Monday,False,FY23,Summer,False
20220426,2022-04-26,2022,2,4,Apr,Apr-2022,17,26,Tuesday,False,FY23,Summer,False
20220427,2022-04-27,2022,2,4,Apr,Apr-2022,17,27,Wednesday,False,FY23,Summer,False
20220428,2022-04-28,2022,2,4,Apr,Apr-2022,17,28,Thursday,False,FY23,Summer,False
20220429,2022-04-29,2022,2,4,Apr,Apr-2022,17,29,Friday,False,FY23,Summer,False
20220430,2022-04-30,2022,2,4,Apr,Apr-2022,17,30,Saturday,True,FY23,Summer,False
20220501,2022-05-01,2022,2,5,May,May-2022,17,1,Sunday,True,FY23,Summer,False
20220502,2022-05-02,2022,2,5,May,May-2022,18,2,Monday,False,FY23,Summer,False
20220503,2022-05-03,2022,2,5,May,May-2022,18,3,Tuesday,False,FY23,Summer,False
20220504,2022-05-04,2022,2,5,May,May-2022,18,4,Wednesday,False,FY23,Summer,False
20220505,2022-05-05,2022,2,5,May,May-2022,18,5,Thursday,False,FY23,Summer,False
20220506,2022-05-06,2022,2,5,May,May-2022,18,6,Friday,False,FY23,Summer,False
20220507,2022-05-07,2022,2,5,May,May-2022,18,7,Saturday,True,FY23,Summer,False
20220508,2022-05-08,2022,2,5,May,May-2022,18,8,Sunday,True,FY23,Summer,False
20220509,2022-05-09,2022,2,5,May,May-2022,19,9,Monday,False,FY23,Summer,False
20220510,2022-05-10,2022,2,5,May,May-2022,19,10,Tuesday,False,FY23,Summer,False
20220511,2022-05-11,2022,2,5,May,May-2022,19,11,Wednesday,False,FY23,Summer,False
20220512,2022-05-12,2022,2,5,May,May-2022,19,12,Thursday,False,FY23,Summer,False
20220513,2022-05-13,2022,2,5,May,May-2022,19,13,Friday,False,FY23,Summer,False
20220514,2022-05-14,2022,2,5,May,May-2022,19,14,Saturday,True,FY23,Summer,False
20220515,2022-05-15,2022,2,5,May,May-2022,19,15,Sunday,True,FY23,Summer,False
20220516,2022-05-16,2022,2,5,May,May-2022,20,16,Monday,False,FY23,Summer,False
20220517,2022-05-17,2022,2,5,May,May-2022,20,17,Tuesday,False,FY23,Summer,False
20220518,2022-05-18,2022,2,5,May,May-2022,20,18,Wednesday,False,FY23,Summer,False
20220519,2022-05-19,2022,2,5,May,May-2022,20,19,Thursday,False,FY23,Summer,False
20220520,2022-05-20,2022,2,5,May,May-2022,20,20,Friday,False,FY23,Summer,False
20220521,2022-05-21,2022,2,5,May,May-2022,20,21,Saturday,True,FY23,Summer,False
20220522,2022-05-22,2022,2,5,May,May-2022,20,22,Sunday,True,FY23,Summer,False
